1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
12 13 24 
10 15 24 
6 19 24 
11 14 25 
1 24 25 
10 24 25 
12 13 26 
12 13 26 
3 22 26 
7 18 27 
10 24 27 
6 24 27 
6 19 28 
2 23 28 
13 26 28 
6 19 29 
15 24 29 
7 18 29 
4 21 30 
24 29 30 
3 22 30 
2 23 31 
14 25 31 
15 24 31 
15 31 32 
14 25 32 
13 26 32 
6 19 32 
29 30 33 
12 13 33 
18 27 33 
24 27 34 
6 27 34 
25 32 34 
18 33 35 
7 18 35 
12 13 35 
24 34 36 
15 31 36 
10 27 36 
12 13 37 
26 32 37 
12 13 37 
2 23 38 
26 28 38 
2 23 38 
23 31 39 
5 20 39 
25 34 39 
10 24 40 
10 15 40 
7 29 40 
14 25 41 
7 29 41 
12 37 41 
24 34 42 
32 34 42 
13 37 42 
13 42 43 
12 13 43 
37 41 43 
15 24 44 
24 25 44 
20 39 44 
37 41 45 
26 37 45 
31 36 45 
13 26 46 
24 36 46 
32 34 46 
29 40 46 
25 44 47 
26 28 47 
36 45 47 
10 36 47 
7 29 48 
15 24 48 
13 46 48 
33 35 49 
13 26 49 
23 28 49 
24 27 50 
14 25 50 
15 29 50 
37 42 50 
26 37 51 
26 38 51 
13 42 51 
24 44 51 
24 25 52 
7 18 52 
2 23 52 
15 24 53 
23 28 53 
34 42 53 
13 37 54 
7 35 54 
2 23 54 
6 24 55 
7 54 55 
23 39 55 
24 46 55 
