1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
8 17 24 
8 17 24 
9 16 25 
3 22 25 
1 24 26 
1 24 26 
9 25 27 
22 25 27 
8 24 28 
17 24 28 
9 25 29 
8 17 29 
1 26 30 
8 24 30 
1 30 31 
17 24 31 
2 23 32 
9 16 32 
9 27 33 
30 31 33 
7 18 34 
1 30 34 
1 31 35 
2 23 35 
16 25 36 
7 18 36 
8 24 37 
2 32 37 
24 31 38 
2 32 38 
6 19 39 
23 35 39 
3 25 40 
24 31 40 
16 36 41 
2 23 41 
2 23 42 
9 25 42 
1 30 43 
1 35 43 
23 42 44 
12 13 44 
17 24 45 
12 13 45 
32 37 46 
9 42 46 
1 35 47 
8 17 47 
18 36 48 
35 47 48 
24 30 49 
23 32 49 
12 45 50 
8 24 50 
16 36 51 
18 34 51 
25 42 52 
1 26 52 
23 42 53 
1 35 53 
35 53 54 
34 51 54 
1 30 55 
30 33 55 
45 50 56 
2 38 56 
25 27 57 
35 48 57 
8 24 58 
1 26 58 
35 48 59 
32 49 59 
9 16 60 
1 30 60 
4 21 61 
9 33 61 
3 22 62 
7 36 62 
1 26 63 
17 24 63 
42 44 64 
1 24 64 
17 24 65 
21 61 65 
1 30 66 
1 26 66 
45 56 67 
3 22 67 
8 47 68 
1 52 68 
24 28 69 
24 31 69 
48 57 70 
9 46 70 
32 59 71 
23 44 71 
1 30 72 
13 45 72 
13 45 73 
17 45 73 
28 69 74 
8 24 74 
12 13 75 
23 32 75 
42 44 76 
35 54 76 
9 70 77 
9 16 77 
9 25 78 
69 74 78 
1 47 79 
35 53 79 
28 69 80 
31 38 80 
18 48 81 
23 32 81 
1 30 82 
36 41 82 
7 36 83 
45 56 83 
18 51 84 
45 50 84 
2 35 85 
30 43 85 
24 37 86 
30 55 86 
12 45 87 
17 24 87 
1 30 88 
24 40 88 
2 32 89 
35 43 89 
3 40 90 
1 30 90 
25 27 91 
9 25 91 
1 24 92 
30 34 92 
32 81 93 
17 29 93 
24 40 94 
22 67 94 
1 34 95 
42 44 95 
2 42 96 
25 27 96 
24 37 97 
24 38 97 
1 30 98 
1 30 98 
35 43 99 
23 35 99 
70 77 100 
25 27 100 
16 60 101 
35 53 101 
32 93 102 
24 86 102 
9 46 103 
24 40 103 
1 35 104 
12 75 104 
27 57 105 
35 48 105 
27 105 106 
3 22 106 
54 76 107 
16 32 107 
23 32 108 
7 36 108 
32 108 109 
25 78 109 
24 28 110 
1 79 110 
17 47 111 
1 98 111 
9 16 112 
41 82 112 
1 26 113 
9 27 113 
9 77 114 
37 86 114 
27 105 115 
24 87 115 
9 112 116 
16 25 116 
3 40 117 
32 59 117 
45 87 118 
35 53 118 
24 64 119 
2 89 119 
9 116 120 
12 13 120 
2 32 121 
27 57 121 
3 22 122 
43 99 122 
86 102 123 
45 83 123 
6 19 124 
1 26 124 
1 30 125 
6 124 125 
23 44 126 
2 23 126 
70 100 127 
93 102 127 
9 112 128 
16 77 128 
32 49 129 
30 125 129 
37 97 130 
33 61 130 
46 103 131 
1 88 131 
59 71 132 
40 90 132 
43 99 133 
1 52 133 
26 58 134 
9 27 134 
56 83 135 
43 85 135 
13 73 136 
36 83 136 
22 94 137 
32 49 137 
9 103 138 
1 24 138 
27 57 139 
8 17 139 
76 107 140 
9 29 140 
23 44 141 
16 36 141 
53 79 142 
44 95 142 
1 30 143 
13 45 143 
30 55 144 
35 118 144 
4 21 145 
30 143 145 
30 125 146 
1 35 146 
27 100 147 
23 126 147 
2 32 148 
8 17 148 
17 31 149 
35 146 149 
17 87 150 
30 98 150 
13 72 151 
17 24 151 
1 66 152 
7 36 152 
36 136 153 
1 30 153 
26 52 154 
44 141 154 
9 29 155 
12 13 155 
24 40 156 
47 111 156 
35 105 157 
13 155 157 
30 90 158 
52 68 158 
30 60 159 
25 27 159 
1 30 160 
49 129 160 
4 21 161 
24 40 161 
7 18 162 
2 23 162 
9 155 163 
54 107 163 
12 13 164 
36 83 164 
35 105 165 
24 69 165 
16 32 166 
7 36 166 
30 98 167 
6 19 167 
45 56 168 
30 34 168 
23 44 169 
4 161 169 
40 161 170 
32 75 170 
1 26 171 
8 37 171 
11 14 172 
8 24 172 
23 126 173 
24 87 173 
40 103 174 
61 65 174 
2 23 175 
3 22 175 
1 26 176 
9 46 176 
5 20 177 
6 19 177 
24 40 178 
2 41 178 
30 55 179 
5 20 179 
30 33 180 
25 29 180 
34 168 181 
31 80 181 
40 178 182 
9 77 182 
35 47 183 
1 79 183 
16 77 184 
24 40 184 
3 117 185 
1 43 185 
25 42 186 
56 83 186 
2 23 187 
24 26 187 
99 133 188 
143 145 188 
88 131 189 
25 29 189 
9 70 190 
9 32 190 
88 189 191 
30 125 191 
9 182 192 
8 37 192 
42 44 193 
1 52 193 
37 97 194 
1 30 194 
23 42 195 
44 141 195 
3 22 196 
17 31 196 
28 74 197 
9 77 197 
43 185 198 
2 23 198 
32 117 199 
2 35 199 
37 194 200 
22 25 200 
35 43 201 
70 77 201 
12 13 202 
145 188 202 
25 96 203 
24 38 203 
35 53 204 
40 182 204 
17 29 205 
9 112 205 
87 173 206 
88 191 206 
37 97 207 
17 24 207 
31 149 208 
40 174 208 
45 67 209 
32 129 209 
30 34 210 
70 201 210 
45 56 211 
16 32 211 
40 161 212 
8 17 212 
43 185 213 
16 51 213 
22 106 214 
30 98 214 
36 83 215 
13 45 215 
24 86 216 
9 78 216 
32 71 217 
35 47 217 
2 199 218 
25 203 218 
12 155 219 
3 90 219 
32 89 220 
1 26 220 
24 151 221 
25 78 221 
30 146 222 
67 94 222 
2 56 223 
9 25 223 
26 63 224 
16 116 224 
