1 24
2 23
3 22
4 21
5 20
6 19
7 18
8 17
9 16
10 15
11 14
12 13
9 16 24 
9 16 24 
7 18 24 
11 14 25 
3 22 25 
11 14 25 
10 15 25 
6 19 26 
18 24 26 
8 17 26 
5 20 26 
17 26 27 
11 14 27 
4 21 27 
7 18 27 
9 16 28 
2 23 28 
6 19 28 
4 27 29 
6 28 29 
21 27 29 
26 27 29 
26 27 30 
26 27 30 
9 24 30 
18 24 30 
27 29 31 
12 13 31 
4 21 31 
27 29 31 
6 28 32 
27 31 32 
7 18 32 
11 14 33 
9 30 33 
27 29 33 
28 29 33 
21 27 34 
24 26 34 
6 28 34 
5 26 35 
6 19 35 
18 26 35 
3 25 35 
9 28 36 
3 35 36 
26 34 36 
4 21 37 
3 22 37 
27 29 37 
9 30 37 
27 31 38 
27 30 38 
9 24 38 
23 28 39 
25 35 39 
18 24 39 
16 28 40 
8 17 40 
1 24 40 
26 27 40 
27 29 41 
9 36 41 
13 31 41 
11 33 41 
10 15 42 
24 26 42 
27 30 42 
24 42 43 
3 35 43 
18 26 43 
7 18 43 
24 26 44 
6 28 44 
18 24 44 
13 31 45 
31 41 45 
27 29 45 
8 17 46 
24 30 46 
18 43 46 
8 40 46 
26 35 47 
19 35 47 
1 24 47 
21 27 48 
8 46 48 
26 27 48 
16 24 48 
1 24 49 
4 21 49 
28 39 49 
26 27 49 
18 46 50 
4 21 50 
27 29 50 
13 31 51 
28 44 51 
7 18 51 
10 15 51 
27 37 52 
9 24 52 
16 40 52 
4 31 53 
1 40 53 
21 37 53 
27 29 54 
35 47 54 
26 27 54 
9 16 54 
8 17 55 
6 28 55 
27 38 55 
21 27 56 
27 45 56 
21 31 56 
26 49 56 
7 18 57 
18 32 57 
9 41 57 
36 41 58 
26 35 58 
27 31 58 
31 41 58 
11 25 59 
10 25 59 
21 56 59 
4 21 59 
35 47 60 
14 25 60 
29 50 60 
26 27 60 
27 55 61 
18 26 61 
30 42 61 
13 51 61 
9 16 62 
24 30 62 
21 56 62 
21 50 62 
3 36 63 
45 56 63 
10 15 63 
27 56 63 
26 34 64 
15 42 64 
18 26 64 
6 28 65 
24 44 65 
27 29 65 
29 31 66 
6 44 66 
4 21 66 
16 40 67 
28 44 67 
13 31 67 
9 16 68 
4 37 68 
4 21 68 
16 28 68 
21 50 69 
24 47 69 
16 67 69 
29 33 70 
28 32 70 
13 31 70 
9 33 70 
13 61 71 
14 25 71 
18 35 71 
10 15 71 
28 65 72 
1 49 72 
17 40 72 
14 25 72 
24 47 73 
4 21 73 
30 62 73 
12 31 73 
8 40 74 
24 30 74 
8 17 74 
11 27 75 
30 42 75 
3 43 75 
9 28 75 
29 33 76 
21 49 76 
36 41 76 
35 47 76 
3 35 77 
43 46 77 
20 26 77 
55 61 77 
26 34 78 
28 36 78 
28 39 78 
